route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible
38,53492-__3814-LAMJV,5624992,Tourcoing C.H. Dron,0,,1
L2,52313-__L250-LAMJV,5502633,Loos Les Oliveaux,1,,1
L2,52313-__L251-LAMJV,5502652,Loos Les Oliveaux,1,,1
L2,52313-__L251-LAMJV,5502656,Loos Les Oliveaux,1,,1
L2,52313-__L251-LAMJV,5502662,Loos Les Oliveaux,1,,1
L2,52313-__L254-LAMJV,5502679,Loos Les Oliveaux,1,,1
L2,52313-__L254-LAMJV,5502681,Loos Les Oliveaux,1,,1
L2,52313-__L255-LAMJV,5502704,Loos Les Oliveaux,1,,1
L2,52313-__L255-LAMJV,5502706,Loos Les Oliveaux,1,,1
L2,52313-__L256-LAMJV,5502729,Loos Les Oliveaux,1,,1
L2,52313-__L256-LAMJV,5502739,Loos Les Oliveaux,1,,1
L2,52313-__L257-LAMJV,5502760,Loos Les Oliveaux,1,,1
L2,52313-__L257-LAMJV,5502764,Loos Les Oliveaux,1,,1
L2,52313-__L257-LAMJV,5502766,Loos Les Oliveaux,1,,1
L2,52313-__L258-LAMJV,5502782,Loos Les Oliveaux,1,,1
L2,52313-__L258-LAMJV,5502786,Loos Les Oliveaux,1,,1
L2,52313-__L260-LAMJV,5502822,Loos Les Oliveaux,1,,1
L5,52298-__L554-LAMJV,5499877,La Madeleine Montgolfier,1,,1
L5,52298-__L560-LAMJV,5499929,La Madeleine Montgolfier,1,,1
L5,52298-__L562-LAMJV,5499959,La Madeleine Montgolfier,1,,1
L5,52298-__L566-LAMJV,5500011,La Madeleine Montgolfier,1,,1
L5,52298-__L568-LAMJV,5500042,La Madeleine Montgolfier,1,,1
L5,52298-__L569-LAMJV,5500057,La Madeleine Montgolfier,1,,1
14,53836-__1403-LAMJV,5654026,Wattignies Marais,1,,1
14,53836-__1404-LAMJV,5654041,Wattignies Cimetiere,1,,1
14,53836-__1404-LAMJV,5654045,Wattignies Cimetiere,1,,1
14,53836-__1408-LAMJV,5654090,Wattignies Marais,1,,1
14,53836-__1408-LAMJV,5654092,Wattignies Marais,1,,1
14,53836-__1409-LAMJV,5654100,Wattignies Cimetiere,1,,1
14,53836-__1411-LAMJV,5654124,Wattignies Marais,1,,1
14,53836-__1414-LAMJV,5654159,Wattignies Cimetiere,1,,1
14,53836-__1417-LAMJV,5654180,Wattignies Marais,1,,1
L2,52314-__L250-LAMJV,5502846,Loos Les Oliveaux,1,,1
L2,52314-__L251-LAMJV,5502877,Loos Les Oliveaux,1,,1
L2,52314-__L252-LAMJV,5502891,Loos Les Oliveaux,1,,1
L2,52314-__L253-LAMJV,5502911,Loos Les Oliveaux,1,,1
L2,52314-__L254-LAMJV,5502921,Loos Les Oliveaux,1,,1
L2,52314-__L257-LAMJV,5503018,Loos Les Oliveaux,1,,1
L2,52314-__L257-LAMJV,5503024,Loos Les Oliveaux,1,,1
L5,52300-__L558-LAMJV,5500624,La Madeleine Montgolfier,1,,1
L5,52300-__L558-LAMJV,5500633,La Madeleine Montgolfier,1,,1
14,53839-__1405-LAMJV,5654494,Wattignies Cimetiere,1,,1
14,53839-__1406-LAMJV,5654506,Wattignies Cimetiere,1,,1
14,53839-__1412-LAMJV,5654582,Wattignies Cimetiere,1,,1
L8,52906-__L801-S,5533800,Tourcoing Pt De Neuville,0,,1
L8,52906-__L801-S,5533818,Tourcoing Pt De Neuville,0,,1
L8,52906-__L806-S,5533924,Tourcoing Pt De Neuville,0,,1
L8,52906-__L806-S,5533935,Tourcoing Pt De Neuville,0,,1
L8,52906-__L812-S,5534057,Tourcoing Pt De Neuville,0,,1
33,52325-__3302-D,5503865,Leers Coeur De Ville,0,,1
L8,52908-__L806-LAMJV,5534300,Tourcoing Pt De Neuville,0,,1
L8,52908-__L810-LAMJV,5534390,Tourcoing Pt De Neuville,0,,1
L8,52908-__L812-LAMJV,5534419,Tourcoing Pt De Neuville,0,,1
L8,52908-__L812-LAMJV,5534423,Tourcoing Pt De Neuville,0,,1
L8,52908-__L814-LAMJV,5534456,Tourcoing Pt De Neuville,0,,1
33,53740-__3302-LAMJV,5645103,Leers Coeur De Ville,0,,1
33,53740-__3305-LAMJV,5645144,Leers Coeur De Ville,0,,1
33,53740-__3306-LAMJV,5645151,Leers Coeur De Ville,0,,1
33,53740-__3307-LAMJV,5645165,Leers Coeur De Ville,0,,1
33,53740-__3307-LAMJV,5645171,Leers Coeur De Ville,0,,1
33,53740-__3307-LAMJV,5645174,Leers Coeur De Ville,0,,1
33,53740-__3310-LAMJV,5645225,Leers Coeur De Ville,0,,1
L8,52909-__L801-LAMJV,5534503,Tourcoing Pt De Neuville,0,,1
L8,52909-__L804-LAMJV,5534570,Tourcoing Pt De Neuville,0,,1
L8,52909-__L805-LAMJV,5534590,Tourcoing Pt De Neuville,0,,1
L8,52909-__L808-LAMJV,5534646,Tourcoing Pt De Neuville,0,,1
L8,52909-__L808-LAMJV,5534662,Tourcoing Pt De Neuville,0,,1
33,53740-__3304-LAMJV,5645138,Leers Coeur De Ville,0,,1
14,53836-__1406-LAMJV,5654079,Wattignies Marais,1,,1
33,52326-__3302-LAMJV,5503897,Leers Coeur De Ville,0,,1
33,52326-__3303-LAMJV,5503915,Leers Coeur De Ville,0,,1
33,52326-__3304-LAMJV,5503941,Leers Coeur De Ville,0,,1
33,52326-__3306-LAMJV,5503962,Leers Coeur De Ville,0,,1
33,52326-__3308-LAMJV,5503984,Leers Coeur De Ville,0,,1
L8,52909-__L812-LAMJV,5534736,Tourcoing Pt De Neuville,0,,1
L8,52909-__L813-LAMJV,5534765,Tourcoing Pt De Neuville,0,,1
33,52925-__3302-S,5536035,Leers Coeur De Ville,0,,1
33,52925-__3304-S,5536080,Leers Coeur De Ville,0,,1
14,53837-__1401-S,5654198,Wattignies Marais,1,,1
14,53837-__1403-S,5654219,Wattignies Marais,1,,1
14,53837-__1403-S,5654227,Wattignies Marais,1,,1
14,53837-__1406-S,5654272,Wattignies Cimetiere,1,,1
14,53837-__1411-S,5654326,Wattignies Cimetiere,1,,1
L2,52312-__L250-S,5502467,Loos Les Oliveaux,1,,1
L2,52312-__L251-S,5502485,Loos Les Oliveaux,1,,1
L2,52312-__L251-S,5502497,Loos Les Oliveaux,1,,1
L2,52312-__L252-S,5502524,Loos Les Oliveaux,1,,1
L2,52312-__L253-S,5502550,Loos Les Oliveaux,1,,1
L2,52312-__L253-S,5502558,Loos Les Oliveaux,1,,1
L2,52312-__L253-S,5502568,Loos Les Oliveaux,1,,1
L2,52312-__L254-S,5502579,Loos Les Oliveaux,1,,1
L5,52299-__L551-S,5500209,La Madeleine Montgolfier,1,,1
L5,52299-__L554-S,5500265,La Madeleine Montgolfier,1,,1
L5,52299-__L554-S,5500280,La Madeleine Montgolfier,1,,1
14,53838-__1401-D,5654361,Wattignies Cimetiere,1,,1
14,53838-__1404-D,5654410,Wattignies Cimetiere,1,,1
14,53838-__1405-D,5654418,Wattignies Cimetiere,1,,1
L2,52311-__L201-D,5502369,Loos Les Oliveaux,1,,1
L2,52311-__L201-D,5502385,Loos Les Oliveaux,1,,1
L2,52311-__L202-D,5502400,Loos Les Oliveaux,1,,1
L2,52311-__L202-D,5502404,Loos Les Oliveaux,1,,1
L2,52311-__L202-D,5502418,Loos Les Oliveaux,1,,1
14,53837-__1413-S,5654348,Wattignies Marais,1,,1
14,53838-__1402-D,5654380,Wattignies Cimetiere,1,,1
F1,52105-__F107-LAMJV,5487447,Armentieres Armentieres Gare,1,,1
82,53610-__8201-LAMJV,5634348,Armentieres Armentieres Gare,1,,1
82,53610-__8203-LAMJV,5634355,Tourcoing Pt De Neuville,0,,1
82,53610-__8205-LAMJV,5634360,Tourcoing Pt De Neuville,0,,1
82,53610-__8219-LAMJV,5634375,Tourcoing Pt De Neuville,0,,1
82,53610-__8231-LAMJV,5634395,Tourcoing Pt De Neuville,0,,1
82,53610-__8238-LAMJV,5634408,Tourcoing Pt De Neuville,0,,1
82,53610-__8239-LAMJV,5634411,Tourcoing Pt De Neuville,0,,1
82,53610-__8240-LAMJV,5634416,Armentieres Armentieres Gare,1,,1
82,53610-__8241-LAMJV,5634419,Armentieres Armentieres Gare,1,,1
74,53862-__7402-LAMJV,5655478,Armentieres Armentieres Gare,1,,1
15,53808-__1503-LAMJV,5652955,Lesquin Verdun,1,,1
15,53808-__1503-LAMJV,5652961,Lesquin Verdun,1,,1
15,53808-__1505-LAMJV,5652980,Lesquin Verdun,1,,1
15,53808-__1505-LAMJV,5652982,Lesquin Verdun,1,,1
15,53808-__1511-LAMJV,5653038,Lesquin Verdun,1,,1
15,53808-__1512-LAMJV,5653050,Lesquin Verdun,1,,1
L6,52531-__L650-LAMJV,5517592,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L650-LAMJV,5517594,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L650-LAMJV,5517596,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L650-LAMJV,5517604,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L651-LAMJV,5517625,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L651-LAMJV,5517637,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L651-LAMJV,5517645,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L651-LAMJV,5517647,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L652-LAMJV,5517652,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L652-LAMJV,5517680,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L653-LAMJV,5517689,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L653-LAMJV,5517701,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L653-LAMJV,5517709,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L654-LAMJV,5517740,Villeneuve D Ascq Contrescarpe,0,,1
15,52491-__1501-D,5512825,Lesquin Verdun,1,,1
15,52491-__1501-D,5512833,Lesquin Verdun,1,,1
15,52491-__1502-D,5512855,Lesquin Verdun,1,,1
15,52491-__1502-D,5512861,Lesquin Verdun,1,,1
L6,52533-__L650-D,5517976,Villeneuve D Ascq Contrescarpe,0,,1
L6,52533-__L650-D,5517988,Villeneuve D Ascq Contrescarpe,0,,1
L6,52533-__L651-D,5518028,Villeneuve D Ascq Contrescarpe,0,,1
L6,52533-__L651-D,5518033,Villeneuve D Ascq Contrescarpe,0,,1
15,52490-__1501-S,5512679,Lesquin Verdun,1,,1
15,52490-__1502-S,5512711,Lesquin Verdun,1,,1
15,52490-__1503-S,5512743,Lesquin Verdun,1,,1
15,52490-__1503-S,5512749,Lesquin Verdun,1,,1
15,52490-__1503-S,5512761,Lesquin Verdun,1,,1
15,52490-__1504-S,5512777,Lesquin Verdun,1,,1
L6,52532-__L650-S,5517814,Villeneuve D Ascq Contrescarpe,0,,1
L6,52532-__L651-S,5517827,Villeneuve D Ascq Contrescarpe,0,,1
L6,52532-__L652-S,5517866,Villeneuve D Ascq Contrescarpe,0,,1
L6,52532-__L655-S,5517948,Villeneuve D Ascq Contrescarpe,0,,1
L6,52532-__L655-S,5517956,Villeneuve D Ascq Contrescarpe,0,,1
F17,52460-_F1733-S,5511999,Carnin Mairie,0,,1
74F,52125-_74F15-LAMJV,5491411,Armentieres Armentieres Gare,1,,1
F4,52144-__F405-LAMJV,5491792,Sainghin En Melantois Cimetiere,1,,1
F8,52148-__F804-LAMJV,5491836,Illies Centre,0,,1
F16,52137-_F1645-LAMJV,5491597,Sailly Lez Lannoy Tabac,0,,1
15,52493-__1502-LAMJV,5513088,Lesquin Verdun,1,,1
15,52493-__1505-LAMJV,5513119,Lesquin Verdun,1,,1
15,52493-__1508-LAMJV,5513173,Lesquin Verdun,1,,1
15,52493-__1509-LAMJV,5513184,Lesquin Verdun,1,,1
15,52493-__1509-LAMJV,5513186,Lesquin Verdun,1,,1
L6,52534-__L650-LAMJV,5518069,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L650-LAMJV,5518071,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L650-LAMJV,5518073,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L651-LAMJV,5518082,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L651-LAMJV,5518100,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L651-LAMJV,5518104,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L652-LAMJV,5518120,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L652-LAMJV,5518134,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L652-LAMJV,5518138,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L653-LAMJV,5518161,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L653-LAMJV,5518173,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L654-LAMJV,5518188,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L654-LAMJV,5518198,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L655-LAMJV,5518232,Villeneuve D Ascq Contrescarpe,0,,1
74F,52426-_74F12-D,5511308,Armentieres Armentieres Gare,1,,1
74F,52426-_74F20-D,5511316,Armentieres Armentieres Gare,1,,1
F1,52445-__F107-D,5511550,Armentieres Armentieres Gare,1,,1
E4F,52131-_E4F02-LAMJV,5491464,Leers Coeur De Ville,1,,1
E4F,52131-_E4F02-LAMJV,5491468,Leers Coeur De Ville,1,,1
F6,52242-__F612-LAMJV,5495353,Seclin Gare,0,,1
F18,52463-_F1828-D,5512180,Quesnoy Sur Deule Quesnoy Mairie,0,,1
A1,52433-__A109-LAMJV,5511406,Bondues Bondues Ravennes,0,,1
A1,52433-__A110-LAMJV,5511407,Bondues Bondues Ravennes,0,,1
F6,52242-__F610-LAMJV,5495351,Seclin Gare,0,,1
A3,52230-__A301-LAMJV,5495115,Tourcoing Pt De Neuville,1,,1
F2,52469-__F206-LAMJV,5512355,Quesnoy Sur Deule Quesnoy Mairie,0,,1
F6,52482-__F609-LAMJV,5512579,Seclin Gare,0,,1
F6,52482-__F611-LAMJV,5512581,Seclin Gare,0,,1
F6,52481-__F612-D,5512570,Seclin Gare,0,,1
F4,52476-__F402-LAMJV,5512477,Sainghin En Melantois Cimetiere,1,,1
F4,52476-__F403-LAMJV,5512478,Sainghin En Melantois Cimetiere,1,,1
F4,52475-__F402-D,5512448,Sainghin En Melantois Cimetiere,1,,1
F4,52475-__F404-D,5512450,Sainghin En Melantois Cimetiere,1,,1
F4,52475-__F406-D,5512452,Sainghin En Melantois Cimetiere,1,,1
F8,52487-__F810-D,5512642,Illies Centre,0,,1
F10,52132-_F1008-LAMJV,5491476,Illies Centre,1,,1
C3,52339-__C311-LAMJV,5505080,Tourcoing C.H. Dron,0,,1
F2,52467-__F204-S,5512329,Quesnoy Sur Deule Quesnoy Mairie,0,,1
F4,52474-__F405-S,5512422,Sainghin En Melantois Cimetiere,1,,1
F4,52474-__F412-S,5512429,Sainghin En Melantois Cimetiere,1,,1
F6,52480-__F609-S,5512555,Seclin Gare,0,,1
74F,52425-_74F12-S,5511288,Armentieres Armentieres Gare,1,,1
A1,52431-__A109-S,5511374,Bondues Bondues Ravennes,0,,1
F1,52444-__F107-S,5511539,Armentieres Armentieres Gare,1,,1
82,53610-__8292-LAMJV,5634426,Armentieres College Jean Rostand,1,,1
S33,53861-_S3318-LAJ,5655475,Aubers Sacre Coeur,1,,1
S31,52769-_S3101-M,5527036,Armentieres Armentieres Gare,0,,1
80,53607-__8001-LAMJV,5634255,Armentieres College Jean Rostand,0,,1
82,53453-__8201-LAMJV,5621565,Armentieres Armentieres Gare,1,,1
65,53757-__6502-S,5646394,Armentieres Armentieres Gare,0,,1
65,53757-__6506-S,5646402,Armentieres Armentieres Gare,0,,1
81,52722-__8104-S,5524285,Armentieres Armentieres Gare,1,,1
82,53609-__8202-S,5634319,Armentieres Armentieres Gare,1,,1
82,53609-__8210-S,5634337,Tourcoing Pt De Neuville,0,,1
66,53586-__6614-LAMJV,5633366,Forest Sur Marque Eglise,0,,1
66,53586-__6617-LAMJV,5633381,Forest Sur Marque Eglise,0,,1
65,53757-__6504-S,5646397,Armentieres Armentieres Gare,0,,1
82,53609-__8209-S,5634335,Armentieres Armentieres Gare,1,,1
66,53587-__6606-S,5633396,Forest Sur Marque Eglise,0,,1
66,53587-__6607-S,5633408,Forest Sur Marque Eglise,0,,1
66,53587-__6610-S,5633428,Forest Sur Marque Eglise,0,,1
66,53587-__6613-S,5633446,Forest Sur Marque Eglise,0,,1
80,53605-__8016-S,5634198,Armentieres College Jean Rostand,0,,1
82,53609-__8211-S,5634343,Tourcoing Pt De Neuville,0,,1
82,53609-__8211-S,5634345,Armentieres Armentieres Gare,1,,1
P6,53042-__P601-LAMJV,5572582,Halluin Hotel De Ville,0,,1
P6,53042-__P601-LAMJV,5572581,Halluin Hotel De Ville,0,,1
P6,53042-__P601-LAMJV,5572583,Halluin Hotel De Ville,0,,1
P6,53042-__P603-LAMJV,5572589,Halluin Hotel De Ville,0,,1
P6,53042-__P606-LAMJV,5572598,Halluin Hotel De Ville,0,,1
P6,52852-__P601-S,5532472,Halluin Hotel De Ville,0,,1
P6,52852-__P601-S,5532471,Halluin Hotel De Ville,0,,1
P6,52852-__P601-S,5532479,Halluin Hotel De Ville,0,,1
P6,52852-__P604-S,5532489,Halluin Hotel De Ville,0,,1
P6,52852-__P604-S,5532497,Halluin Hotel De Ville,0,,1
S86,52873-_S8607-LAMJV,5532692,Wattrelos College Saint Joseph,1,,1
P6,52853-__P602-D,5532507,Halluin Hotel De Ville,0,,1
P6,53041-__P601-LAMJV,5572557,Halluin Hotel De Ville,0,,1
S86,52872-_S8606-LAMJV,5532677,Wattrelos College Saint Joseph,1,,1
ME2,52971-_ME201-LAMJV,5552492,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME203-LAMJV,5552515,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME204-LAMJV,5552537,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME204-LAMJV,5552539,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME205-LAMJV,5552547,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME205-LAMJV,5552549,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME207-LAMJV,5552570,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME210-LAMJV,5552596,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME211-LAMJV,5552603,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME213-LAMJV,5552632,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME213-LAMJV,5552636,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME214-LAMJV,5552645,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME214-LAMJV,5552655,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME215-LAMJV,5552673,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME216-LAMJV,5552685,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME216-LAMJV,5552689,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME220-LAMJV,5552725,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME220-LAMJV,5552727,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME223-LAMJV,5552783,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME223-LAMJV,5552787,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME232-LAMJV,5552874,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME233-LAMJV,5552888,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME234-LAMJV,5552906,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME237-LAMJV,5552931,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME238-LAMJV,5552935,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME239-LAMJV,5552957,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME239-LAMJV,5552965,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME239-LAMJV,5552967,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME241-LAMJV,5552986,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME243-LAMJV,5553011,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME249-LAMJV,5553053,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME249-LAMJV,5553063,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME261-LAMJV,5553156,Tourcoing C.H. Dron,1,,1
ME2,52983-_ME202-D,5560397,Tourcoing C.H. Dron,1,,1
ME2,52983-_ME203-D,5560420,Tourcoing C.H. Dron,1,,1
ME2,52983-_ME208-D,5560502,Tourcoing C.H. Dron,1,,1
ME2,52983-_ME208-D,5560516,Tourcoing C.H. Dron,1,,1
ME2,52983-_ME209-D,5560522,Tourcoing C.H. Dron,1,,1
ME2,52983-_ME210-D,5560544,Tourcoing C.H. Dron,1,,1
ME2,52983-_ME210-D,5560552,Tourcoing C.H. Dron,1,,1
ME2,52983-_ME211-D,5560557,Tourcoing C.H. Dron,1,,1
ME2,52983-_ME211-D,5560561,Tourcoing C.H. Dron,1,,1
ME2,52983-_ME212-D,5560579,Tourcoing C.H. Dron,1,,1
ME2,52983-_ME212-D,5560581,Tourcoing C.H. Dron,1,,1
ME2,52983-_ME212-D,5560587,Tourcoing C.H. Dron,1,,1
ME2,52983-_ME214-D,5560619,Tourcoing C.H. Dron,1,,1
ME2,52983-_ME215-D,5560638,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME201-S,5555589,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME202-S,5555606,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME203-S,5555617,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME203-S,5555627,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME203-S,5555629,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME204-S,5555648,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME206-S,5555680,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME209-S,5555722,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME209-S,5555728,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME209-S,5555734,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME210-S,5555748,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME211-S,5555765,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME212-S,5555770,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME212-S,5555776,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME212-S,5555780,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME215-S,5555838,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME216-S,5555866,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME216-S,5555868,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME218-S,5555897,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME218-S,5555901,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME218-S,5555911,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME219-S,5555915,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME220-S,5555952,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME221-S,5555958,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME222-S,5555978,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME222-S,5555982,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME222-S,5555984,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME223-S,5556003,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME224-S,5556027,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME224-S,5556029,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME225-S,5556041,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME225-S,5556043,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME226-S,5556054,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME226-S,5556058,Tourcoing C.H. Dron,1,,1
S12,52893-_S1210-LAJV,5533145,Halluin Douane,0,,1
ME2,52972-_ME245-S,5554112,Tourcoing C.H. Dron,1,,1
ME2,52972-_ME246-S,5554124,Tourcoing C.H. Dron,1,,1
ME2,52972-_ME246-S,5554136,Tourcoing C.H. Dron,1,,1
ME2,52972-_ME228-S,5553883,Tourcoing C.H. Dron,1,,1
ME2,52972-_ME230-S,5553917,Tourcoing C.H. Dron,1,,1
ME2,52972-_ME235-S,5553984,Tourcoing C.H. Dron,1,,1
ME2,52972-_ME235-S,5553986,Tourcoing C.H. Dron,1,,1
ME2,52972-_ME235-S,5553990,Tourcoing C.H. Dron,1,,1
ME2,52972-_ME237-S,5554018,Tourcoing C.H. Dron,1,,1
ME2,52972-_ME237-S,5554020,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME265-LAMJV,5553182,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME227-S,5556077,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME229-S,5556108,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME230-S,5556130,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME231-S,5556152,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME232-S,5556162,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME233-S,5556173,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME237-S,5556209,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME238-S,5556213,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME238-S,5556217,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME238-S,5556219,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME239-S,5556225,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME240-S,5556240,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME241-S,5556245,Tourcoing C.H. Dron,1,,1
ME2,52975-_ME242-S,5556256,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME201-D,5556269,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME201-D,5556273,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME202-D,5556275,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME202-D,5556287,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME202-D,5556291,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME203-D,5556292,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME203-D,5556298,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME203-D,5556300,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME206-D,5556352,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME207-D,5556372,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME208-D,5556386,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME209-D,5556419,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME210-D,5556429,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME212-D,5556459,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME212-D,5556463,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME213-D,5556487,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME215-D,5556512,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME216-D,5556541,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME218-D,5556569,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME219-D,5556572,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME219-D,5556578,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME219-D,5556582,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME220-D,5556590,Tourcoing C.H. Dron,1,,1
ME2,52976-_ME220-D,5556592,Tourcoing C.H. Dron,1,,1
